,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,install_clean,size_kb
122,"Sephora: Skin Care, Beauty Makeup & Fragrance Shop",BEAUTY,4.5,26834,57.0,"1,000,000+",Free,0.0,Everyone,Beauty,2018-07-24,18,5.0 and up,1000000,False
124,"Sticker Camera - Selfie Filters, Beauty Camera",BEAUTY,3.9,2277,22.0,"500,000+",Free,0.0,Everyone,Beauty,2018-07-12,1,4.0.3 and up,500000,False
125,Filters for B Live,BEAUTY,4.4,2280,24.0,"500,000+",Free,0.0,Everyone,Beauty,2018-05-14,1,4.0 and up,500000,False
127,Facial Wrinkle Reduction,BEAUTY,4.6,184,21.0,"10,000+",Free,0.0,Everyone,Beauty,2018-07-02,1,4.1 and up,10000,False
128,Makeup Videos,BEAUTY,3.8,9,3.4,"5,000+",Free,0.0,Everyone,Beauty,2018-06-07,1,4.0 and up,5000,False
131,Discover Color,BEAUTY,4.0,364,6.4,"100,000+",Free,0.0,Everyone,Beauty,2018-05-24,1,4.0.3 and up,100000,False
132,Eyeliner step by step 2018,BEAUTY,4.3,18,3.2,"5,000+",Free,0.0,Everyone,Beauty,2018-06-01,1,4.0.3 and up,5000,False
133,Dresses Ideas & Fashions +3000,BEAUTY,4.5,473,8.2,"100,000+",Free,0.0,Mature 17+,Beauty,2017-03-01,1,1.6 and up,100000,False
135,Step By Step Hairstyles For Women,BEAUTY,4.1,66,2.9,"10,000+",Free,0.0,Everyone,Beauty,2018-04-05,3,4.0.3 and up,10000,False
136,Rainbow Camera,BEAUTY,3.7,3871,23.0,"1,000,000+",Free,0.0,Everyone,Beauty,2018-07-30,2,4.0 and up,1000000,False
137,Methods of teeth whitening,BEAUTY,4.7,257,4.6,"50,000+",Free,0.0,Everyone,Beauty,2017-08-07,1,4.0.3 and up,50000,False
138,Girls hairstyles 2018,BEAUTY,4.2,62,3.1,"10,000+",Free,0.0,Everyone,Beauty,2018-05-28,1,4.0.3 and up,10000,False
140,E-Book Read - Read Book for free,BOOKS_AND_REFERENCE,4.5,1857,4.9,"50,000+",Free,0.0,Everyone,Books & Reference,2018-08-03,1,4.4 and up,50000,False
141,Download free book with green book,BOOKS_AND_REFERENCE,4.6,4478,9.5,"100,000+",Free,0.0,Everyone 10+,Books & Reference,2017-07-31,1,4.0 and up,100000,False
147,Free Panda Radio Music,BOOKS_AND_REFERENCE,4.5,418,4.2,"100,000+",Free,0.0,Everyone,Books & Reference,2018-03-27,2,4.1 and up,100000,False
148,Book store,BOOKS_AND_REFERENCE,4.4,22486,5.4,"1,000,000+",Free,0.0,Teen,Books & Reference,2018-06-06,3,4.0 and up,1000000,False
150,English Grammar Complete Handbook,BOOKS_AND_REFERENCE,4.6,1435,2.8,"500,000+",Free,0.0,Everyone,Books & Reference,2018-01-21,1,4.0 and up,500000,False
151,Free Books - Spirit Fanfiction and Stories,BOOKS_AND_REFERENCE,4.8,116507,5.0,"1,000,000+",Free,0.0,Teen,Books & Reference,2018-08-01,2,4.0.3 and up,1000000,False
153,AlReader -any text book reader,BOOKS_AND_REFERENCE,4.6,90468,5.9,"5,000,000+",Free,0.0,Everyone,Books & Reference,2018-05-27,1,2.3 and up,5000000,False
154,Offline English Dictionary,BOOKS_AND_REFERENCE,4.2,860,13.0,"100,000+",Free,0.0,Everyone,Books & Reference,2018-07-17,1,4.0.3 and up,100000,False
155,Oxford Dictionary of English : Free,BOOKS_AND_REFERENCE,4.1,363934,7.1,"10,000,000+",Free,0.0,Everyone,Books & Reference,2018-07-11,9,4.1 and up,10000000,False
156,Offline: English to Tagalog Dictionary,BOOKS_AND_REFERENCE,4.7,967,6.7,"500,000+",Free,0.0,Everyone,Books & Reference,2018-08-04,1,4.0.3 and up,500000,False
158,FamilySearch Tree,BOOKS_AND_REFERENCE,4.3,17506,17.0,"1,000,000+",Free,0.0,Everyone,Books & Reference,2018-07-20,2,4.1 and up,1000000,False
159,Cloud of Books,BOOKS_AND_REFERENCE,3.3,1862,19.0,"1,000,000+",Free,0.0,Everyone,Books & Reference,2018-04-27,2,4.1 and up,1000000,False
160,Recipes of Prophetic Medicine for free,BOOKS_AND_REFERENCE,4.6,2084,6.7,"500,000+",Free,0.0,Everyone,Books & Reference,2018-05-17,15,2.3 and up,500000,False
161,ReadEra – free ebook reader,BOOKS_AND_REFERENCE,4.8,47303,21.0,"1,000,000+",Free,0.0,Everyone,Books & Reference,2018-06-02,18,4.1 and up,1000000,False
165,Litnet - E-books,BOOKS_AND_REFERENCE,4.6,7831,15.0,"100,000+",Free,0.0,Teen,Books & Reference,2018-07-04,1,4.0 and up,100000,False
166,Read books online,BOOKS_AND_REFERENCE,4.1,91615,23.0,"5,000,000+",Free,0.0,Mature 17+,Books & Reference,2018-06-29,3,4.1 and up,5000000,False
167,English to Urdu Dictionary,BOOKS_AND_REFERENCE,4.6,4620,19.0,"500,000+",Free,0.0,Everyone,Books & Reference,2017-11-23,2,4.0.3 and up,500000,False
168,eBoox: book reader fb2 epub zip,BOOKS_AND_REFERENCE,4.7,21336,23.0,"1,000,000+",Free,0.0,Everyone,Books & Reference,2018-06-20,1,3.0 and up,1000000,False
169,English Persian Dictionary,BOOKS_AND_REFERENCE,4.5,26875,73.0,"500,000+",Free,0.0,Everyone,Books & Reference,2018-08-01,6,4.0.3 and up,500000,False
170,Flybook,BOOKS_AND_REFERENCE,3.9,1778,4.9,"500,000+",Free,0.0,Mature 17+,Books & Reference,2014-10-16,1,2.1 and up,500000,False
171,All Maths Formulas,BOOKS_AND_REFERENCE,4.4,2709,6.8,"1,000,000+",Free,0.0,Everyone,Books & Reference,2018-07-11,1,4.4 and up,1000000,False
174,English translation from Bengali,BOOKS_AND_REFERENCE,4.5,527,2.9,"100,000+",Free,0.0,Everyone,Books & Reference,2018-03-31,14,4.0 and up,100000,False
175,Pdf Book Download - Read Pdf Book,BOOKS_AND_REFERENCE,4.4,1322,3.5,"100,000+",Free,0.0,Everyone,Books & Reference,2018-05-28,6,4.0.3 and up,100000,False
176,Free Book Reader,BOOKS_AND_REFERENCE,3.4,1680,4.0,"100,000+",Free,0.0,Everyone,Books & Reference,2016-08-20,3,4.0.3 and up,100000,False
177,eBoox new: Reader for fb2 epub zip books,BOOKS_AND_REFERENCE,4.9,2739,21.0,"50,000+",Free,0.0,Everyone,Books & Reference,2018-07-17,2,3.0 and up,50000,False
178,"Only 30 days in English, the guideline is guaranteed",BOOKS_AND_REFERENCE,4.6,1065,2.3,"500,000+",Free,0.0,Everyone,Books & Reference,2018-06-16,1,3.0 and up,500000,False
181,English-Myanmar Dictionary,BOOKS_AND_REFERENCE,4.4,8788,10.0,"1,000,000+",Free,0.0,Everyone,Books & Reference,2018-07-28,2,4.0 and up,1000000,False
182,Golden Dictionary (EN-AR),BOOKS_AND_REFERENCE,4.4,51269,6.1,"1,000,000+",Free,0.0,Everyone,Books & Reference,2018-07-19,7,4.2 and up,1000000,False
183,All Language Translator Free,BOOKS_AND_REFERENCE,4.4,30105,2.1,"1,000,000+",Free,0.0,Everyone,Books & Reference,2018-07-29,1,4.0.3 and up,1000000,False
184,Azpen eReader,BOOKS_AND_REFERENCE,3.5,156,42.0,"500,000+",Free,0.0,Everyone,Books & Reference,2018-02-15,3,2.2 and up,500000,False
186,English Dictionary - Offline,BOOKS_AND_REFERENCE,4.4,341157,30.0,"10,000,000+",Free,0.0,Everyone 10+,Books & Reference,2018-03-20,3,4.2 and up,10000000,False
190,ADP Mobile Solutions,BUSINESS,4.3,85185,29.0,"5,000,000+",Free,0.0,Everyone,Business,2018-07-17,3,5.0 and up,5000000,False
194,OfficeSuite : Free Office + PDF Editor,BUSINESS,4.3,1002861,35.0,"100,000,000+",Free,0.0,Everyone,Business,2018-08-02,9,4.1 and up,100000000,False
195,USPS MOBILE®,BUSINESS,3.9,16589,9.1,"1,000,000+",Free,0.0,Everyone,Business,2018-06-14,4,4.0.3 and up,1000000,False
196,Job Search by ZipRecruiter,BUSINESS,4.8,148945,25.0,"1,000,000+",Free,0.0,Everyone,Business,2018-07-19,5,5.0 and up,1000000,False
197,Curriculum vitae App CV Builder Free Resume Maker,BUSINESS,4.5,4458,3.9,"500,000+",Free,0.0,Everyone,Business,2018-07-08,3,4.1 and up,500000,False
198,Google Primer,BUSINESS,4.4,62272,18.0,"10,000,000+",Free,0.0,Everyone,Business,2018-06-26,3,4.1 and up,10000000,False
199,Alba Heaven - Alvarez Job Portal Services,BUSINESS,4.0,8941,12.0,"5,000,000+",Free,0.0,Everyone,Business,2018-07-31,4,4.0.3 and up,5000000,False
200,SuperLivePro,BUSINESS,4.3,46353,21.0,"1,000,000+",Free,0.0,Everyone,Business,2016-04-13,2,1.5 and up,1000000,False
205,Polaris Office for LG,BUSINESS,4.2,30847,55.0,"5,000,000+",Free,0.0,Everyone,Business,2018-02-08,7,4.1 and up,5000000,False
206,Call Blocker,BUSINESS,4.6,188841,3.2,"5,000,000+",Free,0.0,Everyone,Business,2018-06-21,1,4.0 and up,5000000,False
209,Plugin:AOT v5.0,BUSINESS,3.1,4034,0.023,"100,000+",Free,0.0,Everyone,Business,2015-09-11,3,2.2 and up,100000,True
210,Kariyer.net,BUSINESS,3.9,45964,16.0,"1,000,000+",Free,0.0,Everyone,Business,2018-07-18,5,4.1 and up,1000000,False
212,Become a Job - Find a job or advertise,BUSINESS,4.1,6903,14.0,"1,000,000+",Free,0.0,Everyone,Business,2018-07-10,2,4.1 and up,1000000,False
216,"IndiaMART: Search Products, Buy, Sell & Trade",BUSINESS,4.5,207372,11.0,"5,000,000+",Free,0.0,Everyone,Business,2018-08-02,12,4.0 and up,5000000,False
